Date : 2025-09-02 22:31:55
Directory : d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason
Total : 125 files,  11559 codes, 5719 comments, 2502 blanks, all 19780 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Java            |        107 |     10,373 |      5,667 |      2,441 |     18,481 |
| JSON            |         12 |        997 |          0 |          4 |      1,001 |
| Groovy          |          2 |        118 |         20 |         31 |        169 |
| Batch           |          1 |         41 |         32 |         22 |         95 |
| Markdown        |          2 |         23 |          0 |          3 |         26 |
| Java Properties |          1 |          7 |          0 |          1 |          8 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                    |        125 |     11,559 |      5,719 |      2,502 |     19,780 |
| . (Files)                                                                                                                                                                            |          8 |        296 |         52 |         59 |        407 |
| .wpilib                                                                                                                                                                              |          1 |          6 |          0 |          0 |          6 |
| gradle                                                                                                                                                                               |          1 |          7 |          0 |          1 |          8 |
| gradle\wrapper                                                                                                                                                                       |          1 |          7 |          0 |          1 |          8 |
| src                                                                                                                                                                                  |        107 |     10,373 |      5,667 |      2,441 |     18,481 |
| src\main                                                                                                                                                                             |        107 |     10,373 |      5,667 |      2,441 |     18,481 |
| src\main\java                                                                                                                                                                        |        107 |     10,373 |      5,667 |      2,441 |     18,481 |
| src\main\java\frc                                                                                                                                                                    |        107 |     10,373 |      5,667 |      2,441 |     18,481 |
| src\main\java\frc\minolib                                                                                                                                                            |         80 |      6,790 |      4,194 |      1,647 |     12,631 |
| src\main\java\frc\minolib\advantagekit                                                                                                                                               |          5 |        188 |        142 |         53 |        383 |
| src\main\java\frc\minolib\hardware                                                                                                                                                   |          6 |      1,269 |        289 |        305 |      1,863 |
| src\main\java\frc\minolib\io                                                                                                                                                         |          6 |         98 |          8 |         32 |        138 |
| src\main\java\frc\minolib\localization                                                                                                                                               |          3 |        356 |        158 |         69 |        583 |
| src\main\java\frc\minolib\math                                                                                                                                                       |          7 |        316 |        182 |         85 |        583 |
| src\main\java\frc\minolib\phoenix                                                                                                                                                    |          7 |        483 |        192 |        127 |        802 |
| src\main\java\frc\minolib\rev                                                                                                                                                        |          4 |         76 |         28 |         43 |        147 |
| src\main\java\frc\minolib\swerve                                                                                                                                                     |         24 |      2,931 |      2,492 |        646 |      6,069 |
| src\main\java\frc\minolib\swerve (Files)                                                                                                                                             |          9 |      1,396 |      1,848 |        332 |      3,576 |
| src\main\java\frc\minolib\swerve\old                                                                                                                                                 |          9 |      1,102 |        328 |        224 |      1,654 |
| src\main\java\frc\minolib\swerve\pathplanner                                                                                                                                         |          6 |        433 |        316 |         90 |        839 |
| src\main\java\frc\minolib\vision                                                                                                                                                     |          9 |        448 |        230 |        113 |        791 |
| src\main\java\frc\minolib\wpilib                                                                                                                                                     |          9 |        625 |        473 |        174 |      1,272 |
| src\main\java\frc\robot                                                                                                                                                              |         27 |      3,583 |      1,473 |        794 |      5,850 |
| src\main\java\frc\robot (Files)                                                                                                                                                      |          3 |        187 |         15 |         51 |        253 |
| src\main\java\frc\robot\command_factories                                                                                                                                            |          1 |         75 |          6 |         14 |         95 |
